Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.363133,0.202519,0.443914,0.248042
1,0.393471,0.228219,0.484530,0.253357
2,0.393471,0.232085,0.497146,0.254549
3,0.393471,0.244290,0.497146,0.240822
4,0.413590,0.247147,0.540866,0.248126
5,0.437495,0.258676,0.569856,0.247132
6,0.437495,0.255107,0.569856,0.248420
7,0.501918,0.261208,0.602010,0.250018
8,0.603125,0.279130,0.602010,0.247356
9,0.613692,0.265018,0.602010,0.253361
10,0.613692,0.266702,0.646383,0.249660
11,0.613692,0.272171,0.657225,0.254845
12,0.698966,0.267835,0.657225,0.247316
13,0.698966,0.277588,0.657225,0.254329
14,0.698966,0.296816,0.657225,0.245990
15,0.698966,0.304164,0.657225,0.249789
16,0.698966,0.289905,0.657225,0.246392
17,0.698966,0.297003,0.657225,0.248563
18,0.698966,0.297835,0.657225,0.250876
19,0.698966,0.302289,0.657225,0.253224
20,0.698966,0.300485,0.657225,0.249459
21,0.698966,0.304800,0.657225,0.248350
22,0.698966,0.301247,0.657225,0.255218
23,0.698966,0.300820,0.657225,0.250796
24,0.698966,0.312121,0.657225,0.251645
25,0.698966,0.326749,0.657225,0.250231
26,0.698966,0.323926,0.657225,0.247128
27,0.698966,0.324580,0.657225,0.246690
28,0.698966,0.329134,0.657225,0.243651
29,0.698966,0.314415,0.657225,0.249209
30,0.698966,0.322493,0.657225,0.244327
31,0.710000,0.336208,0.657225,0.242734
32,0.730181,0.327897,0.662330,0.248167
33,0.730181,0.352649,0.662330,0.248867
34,0.730181,0.354965,0.662330,0.256926
35,0.730181,0.347967,0.662330,0.250529
36,0.866029,0.379685,0.662330,0.247554
37,0.866029,0.369274,0.662330,0.251013
38,0.866029,0.379465,0.677874,0.259375
39,0.866029,0.385931,0.677874,0.250140
40,0.866029,0.380127,0.677874,0.246357
41,0.866029,0.389279,0.687705,0.259979
42,0.866029,0.393003,0.687705,0.240569
43,0.866029,0.387227,0.687705,0.254796
44,0.866029,0.413776,0.687705,0.254745
45,0.866029,0.408431,0.687705,0.251558
46,0.866029,0.397777,0.687705,0.260429
47,0.866029,0.407101,0.689032,0.254419
48,0.866029,0.410499,0.689032,0.249058
49,0.866029,0.444251,0.689032,0.254007
50,0.866029,0.413656,0.689032,0.256666
51,0.866029,0.439950,0.689032,0.244804
52,0.866029,0.410996,0.689032,0.258044
53,0.866029,0.424010,0.689032,0.245231
54,0.866029,0.421726,0.689032,0.253926
55,0.942348,0.422829,0.689032,0.257938
56,0.942348,0.401284,0.689032,0.246156
57,0.942348,0.402604,0.689032,0.244849
58,0.942348,0.415519,0.689032,0.254426
59,0.942348,0.389998,0.689032,0.253880
60,0.942348,0.426505,0.689032,0.238536
61,0.942348,0.437628,0.713223,0.243343
62,0.942348,0.426689,0.713223,0.248251
63,0.942348,0.445387,0.713223,0.249625
64,0.942348,0.448100,0.713223,0.251775
65,0.946785,0.455832,0.713223,0.258449
66,0.946785,0.456353,0.713223,0.256268
67,0.946785,0.459891,0.713223,0.245271
68,0.946785,0.441037,0.716569,0.246230
69,0.946785,0.426311,0.716569,0.244170
70,0.947223,0.463494,0.716569,0.253205
71,0.947223,0.454336,0.716569,0.251066
72,0.947223,0.464504,0.716569,0.251071
73,0.947223,0.464138,0.716569,0.246327
74,0.947223,0.453898,0.716569,0.244114
75,0.947223,0.454136,0.716569,0.254643
76,0.947223,0.464657,0.723470,0.252369
77,0.947223,0.445472,0.723470,0.251462
78,0.947223,0.502319,0.723470,0.254620
79,0.947223,0.463703,0.723470,0.255528
80,0.947223,0.438173,0.723470,0.244077
81,0.947223,0.453311,0.723470,0.244674
82,0.947223,0.442865,0.723470,0.243917
83,0.947743,0.507942,0.723470,0.247799
84,0.947743,0.493249,0.723470,0.253434
85,0.947998,0.516508,0.723470,0.248471
86,0.947998,0.479666,0.723470,0.256477
87,0.947998,0.477932,0.723470,0.257580
88,0.947998,0.476619,0.723470,0.244447
89,0.947998,0.512786,0.723470,0.257934
90,0.947998,0.477652,0.723470,0.245611
91,0.947998,0.463042,0.723470,0.244239
92,0.947998,0.468909,0.723470,0.247411
93,0.957209,0.481260,0.723470,0.253182
94,0.957209,0.510897,0.723470,0.253072
95,0.957209,0.508979,0.723470,0.249630
96,0.957209,0.461821,0.723470,0.251920
97,0.957209,0.507270,0.723470,0.253458
98,0.957209,0.475667,0.723470,0.252467
99,0.958449,0.505203,0.723470,0.253849
100,0.958449,0.505893,0.723470,0.248024
101,0.958449,0.506200,0.723470,0.243384
102,0.958449,0.519195,0.723470,0.249870
103,0.958449,0.509807,0.723470,0.253080
104,0.958449,0.498564,0.723470,0.252065
105,0.958449,0.514009,0.723470,0.248274
106,0.958911,0.551707,0.723470,0.251777
107,0.958911,0.539968,0.723470,0.251671
108,0.958911,0.516875,0.723470,0.254879
109,0.958911,0.518951,0.723470,0.246626
110,0.959951,0.513273,0.723470,0.248007
111,0.959951,0.504566,0.723470,0.250683
112,0.964545,0.512524,0.723470,0.250822
113,0.964545,0.499730,0.723470,0.242958
114,0.964545,0.487836,0.723470,0.244573
115,0.964545,0.499302,0.723470,0.247204
116,0.964545,0.511919,0.723470,0.243171
117,0.964545,0.511890,0.723470,0.249420
118,0.964545,0.503076,0.723470,0.255642
119,0.964545,0.509740,0.723470,0.254909
120,0.964545,0.497735,0.723470,0.253073
121,0.964545,0.508605,0.723470,0.251673
122,0.964545,0.499991,0.723470,0.253126
123,0.964545,0.511246,0.723470,0.249031
124,0.964545,0.481948,0.723470,0.249521
125,0.964545,0.531678,0.723470,0.251780
126,0.964545,0.525062,0.723470,0.252948
127,0.964545,0.512773,0.723470,0.243182
128,0.964545,0.529961,0.723470,0.245574
129,0.964545,0.521681,0.723470,0.252395
130,0.964545,0.509319,0.723470,0.252472
131,0.964545,0.580479,0.723470,0.247745
132,0.964545,0.550462,0.723470,0.250483
133,0.964545,0.489998,0.723470,0.244361
134,0.964545,0.514464,0.723470,0.255823
135,0.964545,0.504045,0.723470,0.249148
136,0.964545,0.487497,0.723470,0.252285
137,0.964545,0.541775,0.723470,0.251150
138,0.964545,0.559222,0.723470,0.249099
139,0.964545,0.515642,0.723470,0.248333
140,0.964545,0.542803,0.723470,0.253862
141,0.964545,0.491465,0.723470,0.249644
142,0.964545,0.512532,0.723470,0.251382
143,0.964545,0.500884,0.723470,0.248563
