Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.250000
0,0,1,0.244252
0,0,2,0.250979
0,0,3,0.172533
0,0,4,0.091901
0,0,5,0.130987
0,0,6,0.241897
0,0,7,0.212826
0,0,8,0.222043
0,0,9,0.253004
0,0,10,0.290720
0,0,11,0.258136
0,0,12,0.266051
0,0,13,0.202867
0,0,14,0.250000
0,0,15,0.284758
0,0,16,0.374609
0,0,17,0.248093
0,0,18,0.188534
0,0,19,0.242144
0,0,20,0.221520
0,0,21,0.294586
0,0,22,0.305036
0,0,23,0.265661
0,0,24,0.250000
0,0,25,0.238553
0,0,26,0.250000
0,0,27,0.178774
0,0,28,0.229725
0,0,29,0.166861
0,0,30,0.189693
0,0,31,0.201114
0,0,32,0.151833
0,0,33,0.342479
0,0,34,0.289915
0,0,35,0.294182
0,0,36,0.232873
0,0,37,0.178540
0,0,38,0.293751
0,0,39,0.280954
0,0,40,0.274554
0,0,41,0.240378
0,0,42,0.170928
0,0,43,0.199911
0,0,44,0.250000
0,0,45,0.238295
0,0,46,0.266194
0,0,47,0.277956
0,0,48,0.250000
0,0,49,0.262624
0,0,50,0.231264
0,0,51,0.235264
0,0,52,0.165756
0,0,53,0.347891
0,0,54,0.208671
0,0,55,0.340522
0,0,56,0.259197
0,0,57,0.336634
0,0,58,0.201488
0,0,59,0.250000
0,0,60,0.259566
0,0,61,0.178158
0,0,62,0.223333
0,0,63,0.359908
0,0,64,0.078022
0,0,65,0.248552
0,0,66,0.235240
0,0,67,0.343393
0,0,68,0.250374
0,0,69,0.249908
0,0,70,0.204403
0,0,71,0.170065
0,0,72,0.258227
0,0,73,0.247083
0,0,74,0.165985
0,0,75,0.218264
0,0,76,0.309481
0,0,77,0.365649
0,0,78,0.301026
0,0,79,0.283947
0,0,80,0.249033
0,0,81,0.250000
0,0,82,0.250000
0,0,83,0.221536
0,0,84,0.249671
0,0,85,0.263635
0,0,86,0.250000
0,0,87,0.153373
0,0,88,0.249710
0,0,89,0.385038
0,0,90,0.233278
0,0,91,0.326684
0,0,92,0.311030
0,0,93,0.233277
0,0,94,0.250000
0,0,95,0.156809
0,0,96,0.298088
0,0,97,0.250000
0,0,98,0.295040
0,0,99,0.240778
100,0,0,0.825382
100,0,1,0.825341
100,0,2,0.812722
100,0,3,0.811528
100,0,4,0.803011
100,0,5,0.802593
100,0,6,0.792122
100,0,7,0.785576
100,0,8,0.780896
100,0,9,0.772764
100,0,10,0.738106
100,0,11,0.737899
100,0,12,0.731229
100,0,13,0.727343
100,0,14,0.727343
100,0,15,0.727343
100,0,16,0.727343
100,0,17,0.727045
100,0,18,0.726588
100,0,19,0.726588
100,0,20,0.726510
100,0,21,0.726510
100,0,22,0.726510
100,0,23,0.726510
100,0,24,0.726510
100,0,25,0.726510
100,0,26,0.726031
100,0,27,0.725793
100,0,28,0.725793
100,0,29,0.725793
100,0,30,0.725777
100,0,31,0.725777
100,0,32,0.725302
100,0,33,0.286019
100,0,34,0.125935
100,0,35,0.250656
100,0,36,0.369097
100,0,37,0.725793
100,0,38,0.196781
100,0,39,0.417983
100,0,40,0.274339
100,0,41,0.133226
100,0,42,0.207857
100,0,43,0.416028
100,0,44,0.249530
100,0,45,0.269344
100,0,46,0.250000
100,0,47,0.386794
100,0,48,0.249286
100,0,49,0.709142
100,0,50,0.250698
100,0,51,0.250000
100,0,52,0.708789
100,0,53,0.250000
100,0,54,0.216485
100,0,55,0.205177
100,0,56,0.726510
100,0,57,0.082586
100,0,58,0.256713
100,0,59,0.250000
100,0,60,0.250000
100,0,61,0.250000
100,0,62,0.250000
100,0,63,0.142653
100,0,64,0.410187
100,0,65,0.305243
100,0,66,0.244159
100,0,67,0.250000
100,0,68,0.488523
100,0,69,0.492121
100,0,70,0.293720
100,0,71,0.249568
100,0,72,0.251091
100,0,73,0.393853
100,0,74,0.131261
100,0,75,0.143549
100,0,76,0.144372
100,0,77,0.470627
100,0,78,0.252564
100,0,79,0.340802
100,0,80,0.250666
100,0,81,0.323837
100,0,82,0.250000
100,0,83,0.157760
100,0,84,0.234261
100,0,85,0.255917
100,0,86,0.248797
100,0,87,0.244404
100,0,88,0.250073
100,0,89,0.358528
100,0,90,0.368854
100,0,91,0.111450
100,0,92,0.260571
100,0,93,0.125811
100,0,94,0.249282
100,0,95,0.417840
100,0,96,0.250000
100,0,97,0.368585
100,0,98,0.250000
100,0,99,0.250000
200,0,0,0.944891
200,0,1,0.943571
200,0,2,0.943502
200,0,3,0.943470
200,0,4,0.943425
200,0,5,0.943245
200,0,6,0.943245
200,0,7,0.943245
200,0,8,0.943245
200,0,9,0.943245
200,0,10,0.943245
200,0,11,0.943245
200,0,12,0.943227
200,0,13,0.943227
200,0,14,0.943149
200,0,15,0.943149
200,0,16,0.943149
200,0,17,0.943149
200,0,18,0.943149
200,0,19,0.943099
200,0,20,0.942622
200,0,21,0.942482
200,0,22,0.942039
200,0,23,0.941858
200,0,24,0.941858
200,0,25,0.941858
200,0,26,0.941858
200,0,27,0.941858
200,0,28,0.941858
200,0,29,0.941858
200,0,30,0.941858
200,0,31,0.941858
200,0,32,0.941858
200,0,33,0.250000
200,0,34,0.941841
200,0,35,0.310130
200,0,36,0.807246
200,0,37,0.249957
200,0,38,0.111246
200,0,39,0.214187
200,0,40,0.236519
200,0,41,0.633442
200,0,42,0.249502
200,0,43,0.943245
200,0,44,0.250000
200,0,45,0.725200
200,0,46,0.250000
200,0,47,0.251050
200,0,48,0.805780
200,0,49,0.277231
200,0,50,0.313851
200,0,51,0.249980
200,0,52,0.250000
200,0,53,0.919448
200,0,54,0.250000
200,0,55,0.129416
200,0,56,0.250000
200,0,57,0.250644
200,0,58,0.267905
200,0,59,0.482606
200,0,60,0.281564
200,0,61,0.293260
200,0,62,0.250000
200,0,63,0.311000
200,0,64,0.249755
200,0,65,0.250000
200,0,66,0.217714
200,0,67,0.174585
200,0,68,0.251025
200,0,69,0.264716
200,0,70,0.282819
200,0,71,0.341010
200,0,72,0.343090
200,0,73,0.055706
200,0,74,0.250000
200,0,75,0.429066
200,0,76,0.207352
200,0,77,0.376490
200,0,78,0.497645
200,0,79,0.477160
200,0,80,0.250000
200,0,81,0.471839
200,0,82,0.250730
200,0,83,0.250000
200,0,84,0.022131
200,0,85,0.250000
200,0,86,0.235861
200,0,87,0.825341
200,0,88,0.177695
200,0,89,0.374925
200,0,90,0.250000
200,0,91,0.250000
200,0,92,0.814705
200,0,93,0.250000
200,0,94,0.477849
200,0,95,0.250000
200,0,96,0.044811
200,0,97,0.229044
200,0,98,0.286826
200,0,99,0.033025
300,0,0,0.948280
300,0,1,0.948249
300,0,2,0.948080
300,0,3,0.946901
300,0,4,0.946814
300,0,5,0.946814
300,0,6,0.946511
300,0,7,0.946511
300,0,8,0.946511
300,0,9,0.946511
300,0,10,0.946511
300,0,11,0.946511
300,0,12,0.946321
300,0,13,0.946321
300,0,14,0.945935
300,0,15,0.945778
300,0,16,0.945190
300,0,17,0.944930
300,0,18,0.944891
300,0,19,0.944891
300,0,20,0.944891
300,0,21,0.944891
300,0,22,0.944891
300,0,23,0.944891
300,0,24,0.944891
300,0,25,0.944891
300,0,26,0.944891
300,0,27,0.944891
300,0,28,0.944891
300,0,29,0.944891
300,0,30,0.944891
300,0,31,0.944891
300,0,32,0.944891
300,0,33,0.250112
300,0,34,0.250018
300,0,35,0.298439
300,0,36,0.250000
300,0,37,0.944891
300,0,38,0.017862
300,0,39,0.388197
300,0,40,0.387725
300,0,41,0.235371
300,0,42,0.340910
300,0,43,0.253936
300,0,44,0.276747
300,0,45,0.477847
300,0,46,0.936033
300,0,47,0.394647
300,0,48,0.104025
300,0,49,0.944891
300,0,50,0.482616
300,0,51,0.252902
300,0,52,0.235773
300,0,53,0.258333
300,0,54,0.192356
300,0,55,0.249997
300,0,56,0.086254
300,0,57,0.278322
300,0,58,0.249669
300,0,59,0.249768
300,0,60,0.253520
300,0,61,0.179383
300,0,62,0.250000
300,0,63,0.943245
300,0,64,0.250000
300,0,65,0.249851
300,0,66,0.286921
300,0,67,0.836042
300,0,68,0.205366
300,0,69,0.250002
300,0,70,0.597642
300,0,71,0.250058
300,0,72,0.247375
300,0,73,0.215788
300,0,74,0.410143
300,0,75,0.264304
300,0,76,0.250385
300,0,77,0.250000
300,0,78,0.477964
300,0,79,0.245099
300,0,80,0.487983
300,0,81,0.352692
300,0,82,0.255617
300,0,83,0.271569
300,0,84,0.250140
300,0,85,0.944891
300,0,86,0.946511
300,0,87,0.250000
300,0,88,0.395957
300,0,89,0.250000
300,0,90,0.250476
300,0,91,0.805815
300,0,92,0.250000
300,0,93,0.236749
300,0,94,0.415330
300,0,95,0.063732
300,0,96,0.205591
300,0,97,0.409912
300,0,98,0.253863
300,0,99,0.152888
400,0,0,0.948531
400,0,1,0.948528
400,0,2,0.948528
400,0,3,0.948528
400,0,4,0.948528
400,0,5,0.948528
400,0,6,0.948528
400,0,7,0.948528
400,0,8,0.948528
400,0,9,0.948440
400,0,10,0.948440
400,0,11,0.948440
400,0,12,0.948440
400,0,13,0.948440
400,0,14,0.948440
400,0,15,0.948440
400,0,16,0.948440
400,0,17,0.948440
400,0,18,0.948440
400,0,19,0.948440
400,0,20,0.948440
400,0,21,0.948440
400,0,22,0.948440
400,0,23,0.948440
400,0,24,0.948336
400,0,25,0.948336
400,0,26,0.948280
400,0,27,0.948280
400,0,28,0.948280
400,0,29,0.948249
400,0,30,0.948249
400,0,31,0.948249
400,0,32,0.948089
400,0,33,0.250964
400,0,34,0.231216
400,0,35,0.251038
400,0,36,0.720992
400,0,37,0.225634
400,0,38,0.251046
400,0,39,0.250000
400,0,40,0.473247
400,0,41,0.110950
400,0,42,0.137574
400,0,43,0.286697
400,0,44,0.352639
400,0,45,0.370115
400,0,46,0.250007
400,0,47,0.248561
400,0,48,0.250000
