Iteration,Rank,Fitness,Chromosome
1999,0,0.952456,"[['z(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7845371797807829)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w'], ['swap(1,0)', '-']]"
1999,1,0.952456,"[['s(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7844511935582731)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,2,0.952456,"[['tdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7846110921892868)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,3,0.952456,"[['z(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7846598820527837)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w'], ['swap(1,0)', '-']]"
1999,4,0.952456,"[['sdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7846985913259255)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w'], ['swap(1,0)', '-']]"
1999,5,0.952456,"[['tdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7847079017038827)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,6,0.952456,"[['tdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7847339771496558)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,7,0.952456,"[['s(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7842529080991367)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,8,0.952456,"[['tdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7850160820626377)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
1999,9,0.952455,"[['tdg(0)', '-'], ['h(0)', '-'], ['-', 'cz(0,1)'], ['-', 'ryy(0,1,0.7838606541749504)'], ['w', 'h(1)'], ['cx(1,0)', '-'], ['sdg(0)', '-'], ['t(0)', 'w']]"
