Rank,Fitness,Chromosome
0,0.958660,"[['sdg', '-', 'crx(1,1.6018539926994062)'], ['-', 'h', 'crx(0,0.7850046990748574)'], ['h', 't', 'w'], ['crx(1,0.9737911149169399)', '-', 'h'], ['crx(1,0.5871081401673441)', '-', 'w'], ['rxx(1,0.010624766900754978)', '-', 'w']]"
1,0.958651,"[['sdg', '-', 'crx(1,1.5860391908551827)'], ['-', 'h', 'crx(0,0.7761229483917337)'], ['h', 't', 'w'], ['crx(1,1.349458289029931)', '-', 'h'], ['crx(1,0.2661420904834486)', '-', 'w']]"
2,0.958594,"[['sdg', '-', 'crx(1,1.5612508205297166)'], ['-', 'h', 'crx(0,0.7927716869908451)'], ['h', 't', 'w'], ['crx(1,1.1217144788906754)', '-', 'h'], ['crx(1,0.4196414343201511)', '-', 'w'], ['rxx(1,0.03402085534821665)', '-', 'w']]"
3,0.958505,"[['sdg', '-', 'crx(1,1.5905898582861229)'], ['-', 'h', 'crx(0,0.7795541509288205)'], ['h', 't', 'w'], ['crx(1,1.2321996121585395)', '-', 'h'], ['crx(1,0.361250429102001)', '-', 'w'], ['rxx(1,0.042959220432241665)', '-', 'w']]"
4,0.958479,"[['sdg', '-', 'crx(1,1.5236161675744002)'], ['-', 'h', 'crx(0,0.8097213947800642)'], ['h', 't', 'w'], ['crx(1,1.3410564027967486)', '-', 'h'], ['crx(1,0.21053194256558283)', '-', 'w'], ['rxx(1,0.028142322629639536)', '-', 'w']]"
5,0.958441,"[['sdg', '-', 'crx(1,1.6786975689041905)'], ['-', 'h', 'crx(0,0.7625543361229263)'], ['h', 't', 'w'], ['crx(1,0.9961472372189419)', '-', 'h'], ['crx(1,0.49770159009381904)', '-', 'ry(0.06465601756588714)']]"
6,0.958049,"[['sdg', '-', 'crx(1,1.5605053051119846)'], ['-', 'h', 'crx(0,0.7900984901421698)'], ['h', 't', 'w'], ['crx(1,1.370618924850462)', '-', 'h'], ['crx(1,0.2664017549694044)', '-', 'w'], ['rxx(1,0.06303531852562061)', '-', 'w']]"
7,0.957882,"[['sdg', '-', 'crx(1,1.5748423100492128)'], ['-', 'h', 'crx(0,0.6979846869550619)'], ['h', 't', 'w'], ['crx(1,1.321756645608622)', '-', 'h'], ['crx(1,0.27834471198849653)', '-', 'w']]"
8,0.957867,"[['sdg', '-', 'crx(1,1.6456672031691677)'], ['-', 'h', 'crx(0,0.7060177119035854)'], ['h', 't', 'w'], ['crx(1,1.1189069763812833)', '-', 'h'], ['crx(1,0.468280043770975)', '-', 'w'], ['rxx(1,0.04177219239558825)', '-', 'w']]"
9,0.957865,"[['sdg', '-', 'crx(1,1.656151336061157)'], ['-', 'h', 'crx(0,0.7017252419370286)'], ['h', 't', 'w'], ['crx(1,1.225795803571798)', '-', 'h'], ['crx(1,0.3585304509455332)', '-', 'w'], ['rxx(1,0.025149971191247532)', '-', 'w']]"
