Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.293609,0.133804,0.197896,0.131390
1,0.293609,0.154955,0.225475,0.133322
2,0.305357,0.157535,0.234002,0.129086
3,0.305357,0.155800,0.237562,0.132002
4,0.376434,0.167527,0.246800,0.126437
5,0.376434,0.165029,0.246800,0.128012
6,0.376434,0.172143,0.247743,0.130842
7,0.376434,0.173208,0.247784,0.126961
8,0.376434,0.175608,0.250297,0.127065
9,0.376434,0.181131,0.250297,0.129980
10,0.376434,0.177432,0.252488,0.128450
11,0.487483,0.186480,0.252488,0.129256
12,0.487483,0.196924,0.256483,0.128620
13,0.487483,0.190636,0.256856,0.127968
14,0.487483,0.184750,0.262383,0.125558
15,0.487483,0.194326,0.265508,0.131147
16,0.487483,0.204715,0.267068,0.131107
17,0.516720,0.201033,0.267068,0.126027
18,0.516720,0.207056,0.267068,0.128568
19,0.516720,0.199726,0.267106,0.131752
20,0.516720,0.201107,0.268879,0.128641
21,0.516720,0.205426,0.268884,0.129409
22,0.516720,0.206269,0.268884,0.124960
23,0.516720,0.208183,0.268884,0.125105
24,0.516720,0.201540,0.268884,0.128219
25,0.516720,0.210707,0.268884,0.128220
26,0.516720,0.203478,0.268884,0.124906
27,0.516720,0.211206,0.268884,0.129295
28,0.516720,0.211951,0.268884,0.129321
29,0.516720,0.220257,0.268884,0.128945
30,0.516720,0.221308,0.268884,0.127430
31,0.516720,0.220704,0.269072,0.125648
32,0.516720,0.217745,0.269072,0.132031
33,0.516720,0.225405,0.269072,0.128340
34,0.516720,0.223157,0.272142,0.128722
35,0.516720,0.217889,0.272142,0.126252
36,0.516720,0.221062,0.272142,0.128068
37,0.516720,0.221293,0.272142,0.133520
38,0.516720,0.220829,0.275332,0.127911
39,0.516720,0.233913,0.275332,0.128203
40,0.516720,0.225443,0.275332,0.123885
41,0.516720,0.231674,0.276609,0.127913
42,0.516720,0.238229,0.280024,0.132109
43,0.516720,0.231345,0.281014,0.130203
44,0.516720,0.233641,0.281014,0.131673
45,0.516720,0.231182,0.285559,0.127961
46,0.516720,0.230772,0.285559,0.128197
47,0.516720,0.233279,0.285559,0.126553
48,0.516720,0.244091,0.294871,0.131126
