Iteration,Rank,Fitness,Chromosome
1999,0,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5707831793326528)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,1,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5709008222445222)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,2,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5706603290382424)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,3,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.570653382102725)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,4,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5709575055196938)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,5,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.570982578889652)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,6,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5706093555128637)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,7,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5706082523511862)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,8,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.5709876220823604)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
1999,9,0.967004,"[['cx(1,0)', '-'], ['-', 'cx(0,1)'], ['crx(1,0,1.571012460513769)', '-'], ['h(0)', '-'], ['cx(1,0)', '-'], ['w', 'h(1)']]"
