Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.196376,0.073448,0.197896,0.131390
1,0.196376,0.087742,0.225475,0.133322
2,0.196376,0.099724,0.234002,0.129086
3,0.196376,0.099582,0.237562,0.132002
4,0.196376,0.104339,0.246800,0.126437
5,0.250911,0.112197,0.246800,0.128012
6,0.266406,0.117363,0.247743,0.130842
7,0.266406,0.121443,0.247784,0.126961
8,0.283972,0.127205,0.250297,0.127065
9,0.302688,0.123677,0.250297,0.129980
10,0.302688,0.136236,0.252488,0.128450
11,0.302688,0.134247,0.252488,0.129256
12,0.302688,0.143456,0.256483,0.128620
13,0.476545,0.154031,0.256856,0.127968
14,0.476545,0.155038,0.262383,0.125558
15,0.476545,0.158472,0.265508,0.131147
16,0.476545,0.159518,0.267068,0.131107
17,0.476545,0.160117,0.267068,0.126027
18,0.476545,0.163556,0.267068,0.128568
19,0.476545,0.170217,0.267106,0.131752
20,0.476545,0.176566,0.268879,0.128641
21,0.476545,0.177592,0.268884,0.129409
22,0.476545,0.184488,0.268884,0.124960
23,0.476545,0.174760,0.268884,0.125105
24,0.476545,0.184445,0.268884,0.128219
25,0.476545,0.185988,0.268884,0.128220
26,0.476545,0.186434,0.268884,0.124906
27,0.476545,0.187121,0.268884,0.129295
28,0.476545,0.204261,0.268884,0.129321
29,0.476545,0.207819,0.268884,0.128945
30,0.476545,0.204641,0.268884,0.127430
31,0.496729,0.210944,0.269072,0.125648
32,0.496729,0.208899,0.269072,0.132031
33,0.496729,0.212352,0.269072,0.128340
34,0.496729,0.205401,0.272142,0.128722
35,0.496729,0.231073,0.272142,0.126252
36,0.512799,0.230616,0.272142,0.128068
37,0.512799,0.239161,0.272142,0.133520
38,0.512799,0.228598,0.275332,0.127911
39,0.512799,0.232785,0.275332,0.128203
40,0.512799,0.247670,0.275332,0.123885
41,0.512799,0.244445,0.276609,0.127913
42,0.512799,0.270415,0.280024,0.132109
43,0.512799,0.243478,0.281014,0.130203
44,0.512799,0.262319,0.281014,0.131673
45,0.512799,0.250041,0.285559,0.127961
46,0.512799,0.256018,0.285559,0.128197
47,0.512799,0.256528,0.285559,0.126553
48,0.512799,0.257996,0.294871,0.131126
