Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.012649
0,0,1,0.053986
0,0,2,0.120514
0,0,3,0.044806
0,0,4,0.103966
0,0,5,0.027126
0,0,6,-0.049439
0,0,7,0.080397
0,0,8,0.077401
0,0,9,0.217953
0,0,10,0.092794
0,0,11,0.067025
0,0,12,0.076861
0,0,13,0.157837
0,0,14,0.108552
0,0,15,0.103570
0,0,16,0.123392
0,0,17,0.102936
0,0,18,0.138691
0,0,19,0.009743
0,0,20,0.056504
0,0,21,0.058322
0,0,22,0.070248
0,0,23,0.054794
0,0,24,0.078193
0,0,25,0.069894
0,0,26,0.087272
0,0,27,0.044395
0,0,28,0.027487
0,0,29,0.071630
0,0,30,0.063590
0,0,31,0.094855
0,0,32,-0.032684
0,0,33,0.010616
0,0,34,0.208990
0,0,35,0.091773
0,0,36,0.135796
0,0,37,0.106447
0,0,38,0.047534
0,0,39,0.061459
0,0,40,0.011628
0,0,41,0.075564
0,0,42,0.075000
0,0,43,0.096660
0,0,44,0.207703
0,0,45,0.074956
0,0,46,0.139203
0,0,47,0.127049
0,0,48,0.026847
0,0,49,0.149363
0,0,50,0.036239
0,0,51,0.102849
0,0,52,0.085762
0,0,53,0.003592
0,0,54,0.079725
0,0,55,0.050426
0,0,56,0.100427
0,0,57,0.099820
0,0,58,0.157989
0,0,59,0.070216
0,0,60,0.084813
0,0,61,0.042108
0,0,62,-0.024145
0,0,63,0.043980
0,0,64,0.074518
0,0,65,0.079738
0,0,66,0.052204
0,0,67,0.000446
0,0,68,0.064479
0,0,69,0.163973
0,0,70,0.119725
0,0,71,0.199852
0,0,72,-0.001171
0,0,73,0.091795
0,0,74,0.080565
0,0,75,0.096399
0,0,76,0.058853
0,0,77,-0.010665
0,0,78,0.105292
0,0,79,0.202071
0,0,80,0.169490
0,0,81,0.037401
0,0,82,0.147846
0,0,83,0.099418
0,0,84,0.070742
0,0,85,0.083661
0,0,86,0.132684
0,0,87,0.094699
0,0,88,0.064202
0,0,89,0.104078
0,0,90,0.010014
0,0,91,0.084125
0,0,92,0.051808
0,0,93,0.058987
0,0,94,0.076992
0,0,95,0.108828
0,0,96,0.064967
0,0,97,0.075423
0,0,98,-0.025308
0,0,99,0.089421
100,0,0,0.531790
100,0,1,0.525387
100,0,2,0.507809
100,0,3,0.500417
100,0,4,0.483072
100,0,5,0.470353
100,0,6,0.463219
100,0,7,0.454856
100,0,8,0.434189
100,0,9,0.427677
100,0,10,0.420829
100,0,11,0.413427
100,0,12,0.412572
100,0,13,0.410781
100,0,14,0.409285
100,0,15,0.399217
100,0,16,0.394745
100,0,17,0.389760
100,0,18,0.384212
100,0,19,0.383866
100,0,20,0.376580
100,0,21,0.376494
100,0,22,0.373205
100,0,23,0.372642
100,0,24,0.370994
100,0,25,0.369791
100,0,26,0.369582
100,0,27,0.369252
100,0,28,0.369070
100,0,29,0.368783
100,0,30,0.367296
100,0,31,0.366506
100,0,32,0.365071
100,0,33,0.064288
100,0,34,0.081778
100,0,35,0.136506
100,0,36,0.134173
100,0,37,0.071609
100,0,38,0.102843
100,0,39,0.163155
100,0,40,0.090000
100,0,41,0.134098
100,0,42,0.160769
100,0,43,0.337516
100,0,44,0.132531
100,0,45,0.113230
100,0,46,0.095295
100,0,47,0.124141
100,0,48,0.083184
100,0,49,0.152048
100,0,50,0.049649
100,0,51,0.026927
100,0,52,0.093885
100,0,53,-0.004851
100,0,54,0.144968
100,0,55,0.091187
100,0,56,0.074072
100,0,57,0.096457
100,0,58,0.088515
100,0,59,0.159960
100,0,60,0.123378
100,0,61,0.126087
100,0,62,0.067233
100,0,63,0.133470
100,0,64,0.194404
100,0,65,0.228551
100,0,66,0.080788
100,0,67,0.080037
100,0,68,0.072662
100,0,69,0.473316
100,0,70,0.137305
100,0,71,0.142045
100,0,72,0.134931
100,0,73,0.032989
100,0,74,0.201858
100,0,75,0.164019
100,0,76,0.054701
100,0,77,0.158931
100,0,78,0.080529
100,0,79,0.109662
100,0,80,0.117856
100,0,81,0.324858
100,0,82,0.169330
100,0,83,0.114408
100,0,84,0.093540
100,0,85,0.028760
100,0,86,0.107276
100,0,87,0.178908
100,0,88,0.195415
100,0,89,0.100666
100,0,90,0.141814
100,0,91,0.196610
100,0,92,0.143199
100,0,93,0.128013
100,0,94,0.151425
100,0,95,0.080433
100,0,96,0.080926
100,0,97,0.063189
100,0,98,0.196610
100,0,99,0.107313
200,0,0,0.690029
200,0,1,0.679737
200,0,2,0.632294
200,0,3,0.625245
200,0,4,0.614113
200,0,5,0.606443
200,0,6,0.604344
200,0,7,0.591989
200,0,8,0.591958
200,0,9,0.584450
200,0,10,0.571963
200,0,11,0.571351
200,0,12,0.569497
200,0,13,0.563232
200,0,14,0.562061
200,0,15,0.559576
200,0,16,0.553545
200,0,17,0.552697
200,0,18,0.549660
200,0,19,0.548627
200,0,20,0.547953
200,0,21,0.545193
200,0,22,0.539641
200,0,23,0.538567
200,0,24,0.537934
200,0,25,0.536957
200,0,26,0.536486
200,0,27,0.536245
200,0,28,0.535638
200,0,29,0.535342
200,0,30,0.534618
200,0,31,0.534208
200,0,32,0.531790
200,0,33,0.211289
200,0,34,0.394121
200,0,35,0.280208
200,0,36,0.287897
200,0,37,0.202161
200,0,38,0.020346
200,0,39,0.225056
200,0,40,0.392864
200,0,41,0.105149
200,0,42,0.493979
200,0,43,0.089848
200,0,44,0.227285
200,0,45,0.112322
200,0,46,0.099900
200,0,47,0.135407
200,0,48,0.224933
200,0,49,0.157405
200,0,50,0.663667
200,0,51,0.147339
200,0,52,0.312370
200,0,53,0.192704
200,0,54,0.134796
200,0,55,-0.008213
200,0,56,0.168429
200,0,57,0.647836
200,0,58,0.137171
200,0,59,0.300560
200,0,60,0.329083
200,0,61,0.097416
200,0,62,0.295065
200,0,63,0.317344
200,0,64,0.143581
200,0,65,-0.022679
200,0,66,0.105152
200,0,67,0.148717
200,0,68,0.117548
200,0,69,0.100000
200,0,70,0.155890
200,0,71,0.139127
200,0,72,0.333239
200,0,73,0.191210
200,0,74,0.278828
200,0,75,0.101829
200,0,76,0.056873
200,0,77,0.125125
200,0,78,0.109991
200,0,79,0.100000
200,0,80,0.124275
200,0,81,0.158146
200,0,82,0.100000
200,0,83,0.110492
200,0,84,0.156922
200,0,85,0.389239
200,0,86,0.153672
200,0,87,0.136692
200,0,88,0.266221
200,0,89,0.148260
200,0,90,0.272431
200,0,91,0.158443
200,0,92,0.473877
200,0,93,0.161290
200,0,94,0.311392
200,0,95,0.249764
200,0,96,0.367234
200,0,97,0.431169
200,0,98,0.100000
200,0,99,0.117206
300,0,0,0.757057
300,0,1,0.716635
300,0,2,0.707305
300,0,3,0.705603
300,0,4,0.704538
300,0,5,0.699501
300,0,6,0.694675
300,0,7,0.690029
300,0,8,0.687529
300,0,9,0.687409
300,0,10,0.681548
300,0,11,0.679737
300,0,12,0.676274
300,0,13,0.676200
300,0,14,0.675809
300,0,15,0.668659
300,0,16,0.666844
300,0,17,0.663667
300,0,18,0.662834
300,0,19,0.659005
300,0,20,0.658823
300,0,21,0.656312
300,0,22,0.656176
300,0,23,0.655033
300,0,24,0.653317
300,0,25,0.653220
300,0,26,0.652182
300,0,27,0.651406
300,0,28,0.650359
300,0,29,0.648416
300,0,30,0.647836
300,0,31,0.647152
300,0,32,0.646643
300,0,33,0.020790
300,0,34,0.187883
300,0,35,0.129133
300,0,36,0.133694
300,0,37,0.121823
300,0,38,0.127052
300,0,39,0.094252
300,0,40,0.124898
300,0,41,0.287963
300,0,42,0.341538
300,0,43,0.077762
300,0,44,0.177695
300,0,45,0.119740
300,0,46,0.101487
300,0,47,0.167782
300,0,48,0.132584
300,0,49,0.092151
300,0,50,0.357291
300,0,51,0.105000
300,0,52,0.284661
300,0,53,0.236238
300,0,54,0.248802
300,0,55,0.127576
300,0,56,0.082978
300,0,57,0.170385
300,0,58,0.134170
300,0,59,0.371636
300,0,60,0.230806
300,0,61,0.328473
300,0,62,0.104956
300,0,63,0.073245
300,0,64,0.281176
300,0,65,0.207977
300,0,66,0.270689
300,0,67,0.151269
300,0,68,0.106980
300,0,69,0.251441
300,0,70,0.184252
300,0,71,0.173980
300,0,72,0.161066
300,0,73,0.175143
300,0,74,0.180116
300,0,75,0.086022
300,0,76,0.114150
300,0,77,0.224726
300,0,78,0.508396
300,0,79,0.236232
300,0,80,0.118725
300,0,81,0.107591
300,0,82,0.090000
300,0,83,0.192935
300,0,84,0.101424
300,0,85,0.067831
300,0,86,0.162814
300,0,87,0.109178
300,0,88,0.244102
300,0,89,0.330983
300,0,90,0.298149
300,0,91,0.105145
300,0,92,0.174065
300,0,93,0.094713
300,0,94,0.039417
300,0,95,0.176326
300,0,96,0.128911
300,0,97,0.194484
300,0,98,0.259321
300,0,99,0.260947
400,0,0,0.757057
400,0,1,0.755860
400,0,2,0.729025
400,0,3,0.726314
400,0,4,0.722603
400,0,5,0.722313
400,0,6,0.716635
400,0,7,0.707305
400,0,8,0.705603
400,0,9,0.704538
400,0,10,0.703908
400,0,11,0.703585
400,0,12,0.699501
400,0,13,0.698483
400,0,14,0.696680
400,0,15,0.696268
400,0,16,0.694675
400,0,17,0.692486
400,0,18,0.690989
400,0,19,0.690029
400,0,20,0.688220
400,0,21,0.687529
400,0,22,0.687409
400,0,23,0.685398
400,0,24,0.684978
400,0,25,0.684804
400,0,26,0.683073
400,0,27,0.682820
400,0,28,0.681665
400,0,29,0.681599
400,0,30,0.681548
400,0,31,0.679810
400,0,32,0.679737
400,0,33,0.089351
400,0,34,0.090044
400,0,35,0.095494
400,0,36,0.306055
400,0,37,0.145264
400,0,38,0.175441
400,0,39,0.383949
400,0,40,0.209004
400,0,41,0.133244
400,0,42,0.119671
400,0,43,0.165879
400,0,44,0.190650
400,0,45,0.214262
400,0,46,0.370304
400,0,47,0.100000
400,0,48,0.196430
400,0,49,0.135709
400,0,50,0.115778
400,0,51,0.104238
400,0,52,0.155146
400,0,53,0.109920
400,0,54,0.271206
400,0,55,0.328789
400,0,56,0.306716
400,0,57,0.441066
400,0,58,0.184133
400,0,59,0.389893
400,0,60,0.269567
400,0,61,0.184070
400,0,62,0.131945
400,0,63,0.217254
400,0,64,0.079261
400,0,65,0.178859
400,0,66,0.150009
400,0,67,0.075788
400,0,68,0.105868
400,0,69,0.182576
400,0,70,0.651738
400,0,71,0.105000
400,0,72,0.607823
400,0,73,0.172411
400,0,74,0.095512
400,0,75,0.110859
400,0,76,0.069191
400,0,77,0.136488
400,0,78,0.453767
400,0,79,0.118767
400,0,80,0.258823
400,0,81,0.079399
400,0,82,0.105000
400,0,83,0.278427
400,0,84,0.184397
400,0,85,0.147647
400,0,86,0.307287
400,0,87,0.100000
400,0,88,0.138865
400,0,89,0.103109
400,0,90,0.173271
400,0,91,0.095000
400,0,92,0.179391
400,0,93,0.105000
400,0,94,0.405389
400,0,95,0.206025
400,0,96,0.100000
400,0,97,0.226276
400,0,98,0.084327
400,0,99,0.089630
500,0,0,0.788978
500,0,1,0.776942
500,0,2,0.764065
500,0,3,0.757057
500,0,4,0.755860
500,0,5,0.747750
500,0,6,0.742915
500,0,7,0.742625
500,0,8,0.739353
500,0,9,0.738373
500,0,10,0.732870
500,0,11,0.731439
500,0,12,0.731286
500,0,13,0.730991
500,0,14,0.730028
500,0,15,0.729025
500,0,16,0.728905
500,0,17,0.726314
500,0,18,0.726073
500,0,19,0.722603
500,0,20,0.722313
500,0,21,0.721940
500,0,22,0.720857
500,0,23,0.720094
500,0,24,0.719758
500,0,25,0.719748
500,0,26,0.716635
500,0,27,0.716252
500,0,28,0.715534
500,0,29,0.713762
500,0,30,0.713279
500,0,31,0.712036
500,0,32,0.711789
500,0,33,0.105000
500,0,34,0.174277
500,0,35,0.153444
500,0,36,0.203455
500,0,37,0.142893
500,0,38,0.187666
500,0,39,0.123443
500,0,40,0.141294
500,0,41,0.349828
500,0,42,0.144907
500,0,43,0.145417
500,0,44,0.115127
500,0,45,0.122787
500,0,46,0.616099
500,0,47,0.130907
500,0,48,0.081750
500,0,49,0.378141
500,0,50,0.137373
500,0,51,0.262571
500,0,52,0.410266
500,0,53,0.132772
500,0,54,0.096987
500,0,55,0.073745
500,0,56,0.202639
500,0,57,-0.024790
500,0,58,0.141119
500,0,59,0.082553
500,0,60,0.091376
500,0,61,0.100000
500,0,62,0.156419
500,0,63,0.166167
500,0,64,0.096348
500,0,65,0.620832
500,0,66,0.282682
500,0,67,0.254503
500,0,68,0.100000
500,0,69,0.129793
500,0,70,0.116906
500,0,71,0.288531
500,0,72,0.104213
500,0,73,0.120719
500,0,74,0.053640
500,0,75,0.095285
500,0,76,0.168843
500,0,77,0.137637
500,0,78,0.652929
500,0,79,0.674004
500,0,80,0.175354
500,0,81,0.227165
500,0,82,0.128416
500,0,83,0.098005
500,0,84,0.194421
500,0,85,0.283664
500,0,86,-0.016381
500,0,87,0.141675
500,0,88,0.304239
500,0,89,0.176521
500,0,90,0.026237
500,0,91,0.073830
500,0,92,0.196068
500,0,93,0.134075
500,0,94,0.122677
500,0,95,0.210531
500,0,96,0.105000
500,0,97,0.085070
500,0,98,0.307561
500,0,99,0.006498
600,0,0,0.833178
600,0,1,0.829262
600,0,2,0.820452
600,0,3,0.817849
600,0,4,0.807943
600,0,5,0.801418
600,0,6,0.799506
600,0,7,0.788978
600,0,8,0.788433
600,0,9,0.787037
600,0,10,0.785358
600,0,11,0.784950
600,0,12,0.780783
600,0,13,0.780767
600,0,14,0.776942
600,0,15,0.775409
600,0,16,0.770612
600,0,17,0.764344
600,0,18,0.764065
600,0,19,0.763389
600,0,20,0.762402
600,0,21,0.761032
600,0,22,0.757057
600,0,23,0.755860
600,0,24,0.752470
600,0,25,0.749866
600,0,26,0.749772
600,0,27,0.749144
600,0,28,0.748981
600,0,29,0.748042
600,0,30,0.747750
600,0,31,0.746310
600,0,32,0.745436
600,0,33,0.169914
600,0,34,0.479924
600,0,35,0.101556
600,0,36,0.138905
600,0,37,0.105000
600,0,38,0.310669
600,0,39,0.153345
600,0,40,0.172869
600,0,41,0.124383
600,0,42,0.319883
600,0,43,0.148305
600,0,44,0.210737
600,0,45,0.458543
600,0,46,0.394843
600,0,47,0.233373
600,0,48,0.156672
600,0,49,0.118687
600,0,50,0.233533
600,0,51,0.472558
600,0,52,0.352260
600,0,53,0.210447
600,0,54,0.249679
600,0,55,0.100000
600,0,56,0.104237
600,0,57,0.118556
600,0,58,0.106312
600,0,59,0.142099
600,0,60,0.200785
600,0,61,0.144018
600,0,62,0.143090
600,0,63,0.147608
600,0,64,0.359825
600,0,65,0.060267
600,0,66,0.156547
600,0,67,0.217329
600,0,68,0.189796
600,0,69,0.200426
600,0,70,0.259067
600,0,71,0.147371
600,0,72,0.065202
600,0,73,0.132823
600,0,74,0.380197
600,0,75,0.194898
600,0,76,0.196784
600,0,77,0.211402
600,0,78,0.181861
