Iteration,Rank,Fitness,Chromosome
1999,0,1.000000,"[['h(0)', 'rx(1,0.007054781207140359)'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w']]"
1999,1,1.000000,"[['h(0)', 'rx(1,0.007168108316907979)'], ['w', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w']]"
1999,2,1.000000,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['x(0)', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w']]"
1999,3,1.000000,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['w', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'rx(1,0.4044084885213082)']]"
1999,4,0.999999,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['x(0)', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['ry(0,0.0030147182180850483)', 'w']]"
1999,5,0.999999,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['-', 'w'], ['ry(0,0.0031843164449932024)', 'w']]"
1999,6,0.999999,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['-', 'w'], ['ry(0,0.0031843164449932024)', 'w'], ['w', 'w']]"
1999,7,0.999999,"[['h(0)', 'rx(1,0.007054781207140359)'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['-', 'w'], ['ry(0,0.0031843164449932024)', 'w'], ['w', 'w']]"
1999,8,0.999997,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['crx(1,0,1.0019102078025572)', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['-', 'x(1)'], ['ry(0,0.0019379813197528122)', 'w'], ['w', 'rx(1,0.0199823692168134)']]"
1999,9,0.999997,"[['h(0)', 'rx(1, 0.0060701328166266055)'], ['crx(1,0,1.0019102078025572)', '-'], ['-', 'cx(0,1)'], ['cx(1,0)', '-'], ['ry(0,0.7849622685659082)', '-'], ['rxx(1,0,1.5608482194806759)', '-'], ['t(0)', 'w'], ['ry(0,0.0030147182180850483)', 'w']]"
