Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.375000,0.242901,0.443914,0.248042
1,0.422582,0.263348,0.484530,0.253357
2,0.452314,0.281564,0.497146,0.254549
3,0.452314,0.290794,0.497146,0.240822
4,0.452314,0.297409,0.540866,0.248126
5,0.452314,0.304247,0.569856,0.247132
6,0.452314,0.308369,0.569856,0.248420
7,0.452314,0.298741,0.602010,0.250018
8,0.561717,0.314187,0.602010,0.247356
9,0.561717,0.312162,0.602010,0.253361
10,0.561717,0.312563,0.646383,0.249660
11,0.561717,0.313935,0.657225,0.254845
12,0.561717,0.307292,0.657225,0.247316
13,0.725095,0.320900,0.657225,0.254329
14,0.725095,0.323691,0.657225,0.245990
15,0.725095,0.322997,0.657225,0.249789
16,0.725095,0.317429,0.657225,0.246392
17,0.725095,0.328192,0.657225,0.248563
18,0.725095,0.334470,0.657225,0.250876
19,0.725095,0.332847,0.657225,0.253224
20,0.725095,0.322089,0.657225,0.249459
21,0.725095,0.335644,0.657225,0.248350
22,0.725095,0.336499,0.657225,0.255218
23,0.725095,0.333658,0.657225,0.250796
24,0.725095,0.340722,0.657225,0.251645
25,0.725095,0.346185,0.657225,0.250231
26,0.725095,0.328935,0.657225,0.247128
27,0.725095,0.342228,0.657225,0.246690
28,0.725095,0.351863,0.657225,0.243651
29,0.725095,0.349819,0.657225,0.249209
30,0.725095,0.357772,0.657225,0.244327
31,0.725095,0.342174,0.657225,0.242734
32,0.725095,0.364229,0.662330,0.248167
33,0.725095,0.345668,0.662330,0.248867
34,0.725095,0.360216,0.662330,0.256926
35,0.725095,0.359138,0.662330,0.250529
36,0.725095,0.360485,0.662330,0.247554
37,0.725095,0.365299,0.662330,0.251013
38,0.725095,0.354551,0.677874,0.259375
39,0.725095,0.350965,0.677874,0.250140
40,0.725095,0.377430,0.677874,0.246357
41,0.725095,0.356927,0.687705,0.259979
42,0.725095,0.369832,0.687705,0.240569
43,0.725095,0.366228,0.687705,0.254796
44,0.725095,0.370304,0.687705,0.254745
45,0.725095,0.366012,0.687705,0.251558
46,0.725095,0.375782,0.687705,0.260429
47,0.725095,0.376960,0.689032,0.254419
48,0.725095,0.387119,0.689032,0.249058
49,0.725095,0.393364,0.689032,0.254007
50,0.771554,0.403182,0.689032,0.256666
51,0.771554,0.391313,0.689032,0.244804
52,0.771554,0.404597,0.689032,0.258044
53,0.771554,0.406394,0.689032,0.245231
54,0.771554,0.394153,0.689032,0.253926
55,0.771554,0.400646,0.689032,0.257938
56,0.771554,0.410659,0.689032,0.246156
57,0.771554,0.412446,0.689032,0.244849
58,0.771554,0.429382,0.689032,0.254426
59,0.771554,0.409923,0.689032,0.253880
60,0.771554,0.424584,0.689032,0.238536
61,0.771554,0.439777,0.713223,0.243343
62,0.771554,0.422752,0.713223,0.248251
63,0.771554,0.435825,0.713223,0.249625
64,0.771554,0.407288,0.713223,0.251775
65,0.808162,0.429888,0.713223,0.258449
66,0.808162,0.452360,0.713223,0.256268
67,0.808162,0.443190,0.713223,0.245271
68,0.808162,0.441278,0.716569,0.246230
69,0.808162,0.436598,0.716569,0.244170
70,0.808162,0.456199,0.716569,0.253205
71,0.808162,0.455875,0.716569,0.251066
72,0.808162,0.443851,0.716569,0.251071
73,0.808162,0.452665,0.716569,0.246327
74,0.808162,0.439872,0.716569,0.244114
75,0.808162,0.451796,0.716569,0.254643
76,0.841430,0.489634,0.723470,0.252369
77,0.841430,0.452018,0.723470,0.251462
78,0.841430,0.461736,0.723470,0.254620
79,0.855073,0.452339,0.723470,0.255528
80,0.890706,0.466126,0.723470,0.244077
81,0.890706,0.473977,0.723470,0.244674
82,0.919302,0.486380,0.723470,0.243917
83,0.919302,0.470078,0.723470,0.247799
84,0.919302,0.474610,0.723470,0.253434
85,0.919302,0.457683,0.723470,0.248471
86,0.919302,0.469968,0.723470,0.256477
87,0.919302,0.458470,0.723470,0.257580
88,0.919302,0.475650,0.723470,0.244447
89,0.919302,0.469180,0.723470,0.257934
90,0.919302,0.492468,0.723470,0.245611
91,0.919302,0.508351,0.723470,0.244239
92,0.919302,0.498592,0.723470,0.247411
93,0.919302,0.473779,0.723470,0.253182
94,0.919302,0.485879,0.723470,0.253072
95,0.919302,0.508085,0.723470,0.249630
96,0.919302,0.479467,0.723470,0.251920
97,0.919302,0.482061,0.723470,0.253458
98,0.919302,0.519483,0.723470,0.252467
99,0.919302,0.522997,0.723470,0.253849
100,0.919302,0.526168,0.723470,0.248024
101,0.919302,0.532683,0.723470,0.243384
102,0.919302,0.463872,0.723470,0.249870
103,0.919302,0.508905,0.723470,0.253080
104,0.919302,0.505661,0.723470,0.252065
105,0.928702,0.534929,0.723470,0.248274
106,0.953384,0.507994,0.723470,0.251777
107,0.953384,0.515660,0.723470,0.251671
108,0.953384,0.509989,0.723470,0.254879
109,0.953384,0.506068,0.723470,0.246626
110,0.953384,0.537126,0.723470,0.248007
111,0.953384,0.520461,0.723470,0.250683
112,0.953384,0.513705,0.723470,0.250822
113,0.953384,0.517537,0.723470,0.242958
114,0.953384,0.524628,0.723470,0.244573
115,0.953384,0.546073,0.723470,0.247204
116,0.953384,0.506126,0.723470,0.243171
117,0.953384,0.571842,0.723470,0.249420
118,0.953384,0.560822,0.723470,0.255642
119,0.953384,0.554564,0.723470,0.254909
120,0.953384,0.554937,0.723470,0.253073
121,0.953384,0.543422,0.723470,0.251673
122,0.953384,0.553344,0.723470,0.253126
123,0.953384,0.569478,0.723470,0.249031
124,0.953384,0.564886,0.723470,0.249521
125,0.953384,0.528754,0.723470,0.251780
126,0.953384,0.520849,0.723470,0.252948
127,0.953384,0.545820,0.723470,0.243182
128,0.953384,0.536972,0.723470,0.245574
129,0.953384,0.572085,0.723470,0.252395
130,0.953384,0.556522,0.723470,0.252472
131,0.953384,0.544465,0.723470,0.247745
132,0.953384,0.526479,0.723470,0.250483
133,0.953384,0.552242,0.723470,0.244361
134,0.979316,0.585202,0.723470,0.255823
135,0.979316,0.537076,0.723470,0.249148
136,0.979316,0.543122,0.723470,0.252285
137,0.979316,0.550403,0.723470,0.251150
138,0.979316,0.612633,0.723470,0.249099
139,0.979316,0.565581,0.723470,0.248333
140,0.979316,0.548819,0.723470,0.253862
141,0.979316,0.531068,0.723470,0.249644
142,0.979316,0.554696,0.723470,0.251382
143,0.979316,0.547383,0.723470,0.248563
144,0.979316,0.546838,0.723470,0.253957
145,0.979316,0.575336,0.723470,0.239228
146,0.979316,0.572036,0.723470,0.256982
147,0.979316,0.579787,0.723470,0.254121
148,0.979316,0.572567,0.723470,0.248304
149,0.979316,0.584871,0.723470,0.255456
150,0.979316,0.586807,0.723470,0.247469
151,0.979316,0.611541,0.723470,0.252382
152,0.979316,0.587383,0.723470,0.254999
153,0.979316,0.557246,0.723470,0.247644
154,0.979316,0.548082,0.723470,0.247501
155,0.979316,0.559359,0.723470,0.246615
156,0.979316,0.560398,0.723470,0.252259
157,0.979316,0.571667,0.723470,0.247840
158,0.989645,0.545959,0.723470,0.253188
159,0.989645,0.566180,0.723470,0.252968
160,0.991815,0.572365,0.723470,0.246318
161,0.991815,0.553698,0.723470,0.242638
162,0.991815,0.552532,0.723470,0.244693
163,0.991815,0.548612,0.723470,0.251624
164,0.991815,0.568904,0.723470,0.252858
165,0.991815,0.578471,0.723470,0.255890
166,0.991815,0.573084,0.723470,0.254876
167,0.991815,0.543886,0.723470,0.246530
168,0.991815,0.549159,0.723470,0.242486
169,0.991815,0.597886,0.723470,0.248868
170,0.991815,0.576995,0.723470,0.258187
171,0.991815,0.577813,0.723470,0.244893
172,0.995704,0.572895,0.723470,0.245881
173,0.995704,0.540980,0.723470,0.243792
174,0.995704,0.566747,0.723470,0.254151
175,0.995704,0.567686,0.723470,0.252346
176,0.995704,0.567727,0.723470,0.250677
177,0.995704,0.605880,0.723470,0.253294
178,0.995704,0.571874,0.723470,0.249372
179,0.995704,0.577931,0.723470,0.246225
180,0.995704,0.620057,0.723470,0.251573
181,0.995704,0.584430,0.723470,0.242253
182,0.995704,0.550233,0.723470,0.243100
183,0.995704,0.568574,0.723470,0.245516
184,0.998108,0.610538,0.723470,0.247288
185,0.998108,0.592902,0.723470,0.253225
186,0.998108,0.583262,0.723470,0.247703
187,0.998108,0.576919,0.723470,0.254815
188,0.998845,0.585775,0.723470,0.257301
189,0.998845,0.617537,0.723470,0.253250
190,0.999057,0.615549,0.723470,0.257282
191,0.999057,0.574118,0.723470,0.254316
192,0.999057,0.565569,0.723470,0.253775
193,0.999057,0.597743,0.723470,0.254943
194,0.999057,0.584592,0.723470,0.247142
195,0.999057,0.590450,0.723470,0.245165
196,0.999057,0.581932,0.723470,0.249198
197,0.999389,0.569168,0.723470,0.250344
198,0.999389,0.604592,0.723470,0.248504
199,0.999389,0.569110,0.723470,0.261294
200,0.999389,0.575495,0.723470,0.248397
201,0.999389,0.605111,0.723470,0.251681
202,0.999977,0.624295,0.723470,0.248983
203,0.999977,0.641446,0.723470,0.255770
204,0.999977,0.584625,0.723470,0.248870
205,0.999977,0.631509,0.723470,0.255384
206,0.999977,0.608326,0.723470,0.255980
207,0.999977,0.594036,0.723470,0.250557
208,0.999977,0.590272,0.723470,0.251232
209,0.999977,0.601481,0.723470,0.251380
210,0.999977,0.595857,0.723470,0.256221
211,0.999977,0.616240,0.723470,0.245622
212,0.999977,0.611970,0.723470,0.249366
213,0.999977,0.595630,0.723470,0.247770
214,0.999977,0.620887,0.723470,0.247489
215,0.999977,0.614853,0.723470,0.241986
216,0.999977,0.607353,0.723470,0.257420
217,0.999977,0.556478,0.723470,0.260952
218,0.999977,0.601581,0.723470,0.247878
219,0.999977,0.577348,0.723470,0.245211
220,0.999977,0.600938,0.723470,0.246319
221,0.999977,0.596955,0.723470,0.243414
222,0.999977,0.593095,0.723470,0.252726
223,0.999977,0.600869,0.723470,0.246727
224,0.999977,0.583774,0.723470,0.244398
225,0.999977,0.550187,0.723470,0.254108
226,0.999977,0.573911,0.723470,0.254830
227,0.999977,0.588721,0.723470,0.253717
228,0.999977,0.586575,0.723470,0.255871
229,0.999977,0.551245,0.723470,0.250141
230,0.999977,0.595473,0.723470,0.250996
231,0.999977,0.604133,0.723470,0.255860
232,0.999977,0.584702,0.723470,0.251553
233,0.999977,0.563436,0.723470,0.255739
234,0.999977,0.604347,0.723470,0.251338
235,0.999977,0.608163,0.723470,0.253547
236,0.999977,0.610691,0.723470,0.247249
237,0.999977,0.656695,0.723470,0.250821
238,0.999977,0.610850,0.723470,0.250854
239,0.999977,0.604334,0.723470,0.251684
240,0.999977,0.574866,0.723470,0.251208
241,0.999977,0.616750,0.723470,0.243918
242,0.999977,0.590947,0.723470,0.258463
243,0.999977,0.585234,0.723470,0.249449
244,0.999977,0.589544,0.723470,0.251112
245,0.999977,0.578270,0.723470,0.253982
246,0.999977,0.591029,0.723470,0.251744
247,0.999977,0.596589,0.723470,0.246728
248,0.999977,0.551391,0.723470,0.251719
249,0.999977,0.584909,0.723470,0.253130
250,0.999977,0.615022,0.723470,0.253923
251,0.999977,0.590024,0.723470,0.246585
252,0.999977,0.603136,0.723470,0.245035
253,0.999977,0.638421,0.732785,0.255741
254,0.999977,0.596102,0.732785,0.245947
255,0.999977,0.580385,0.732785,0.250916
256,0.999977,0.581061,0.732785,0.244826
257,0.999977,0.599263,0.732785,0.250048
258,0.999977,0.634642,0.732785,0.252516
259,0.999977,0.606687,0.732785,0.250657
260,0.999977,0.614462,0.739560,0.249853
261,0.999977,0.629838,0.739560,0.249776
262,0.999977,0.589255,0.739560,0.250725
263,0.999977,0.606165,0.739560,0.253870
264,0.999977,0.630824,0.739560,0.259927
265,0.999977,0.594826,0.739560,0.260646
266,0.999977,0.624141,0.739560,0.248769
267,0.999977,0.596825,0.739560,0.245292
268,0.999977,0.601921,0.739560,0.253554
269,0.999977,0.588828,0.739560,0.252221
270,0.999977,0.576287,0.739560,0.250772
271,0.999977,0.598710,0.739560,0.254558
272,0.999977,0.574076,0.739560,0.255762
273,0.999977,0.604629,0.739560,0.251526
274,0.999977,0.580623,0.739560,0.253647
275,0.999977,0.596354,0.739560,0.240147
276,0.999977,0.587823,0.739560,0.246219
277,0.999977,0.628196,0.739560,0.251262
278,0.999977,0.609461,0.739560,0.258151
279,0.999977,0.574716,0.739560,0.245431
280,0.999977,0.621775,0.739560,0.253026
281,0.999977,0.597345,0.739560,0.251218
282,0.999977,0.619186,0.739560,0.259060
283,0.999988,0.610424,0.739560,0.255225
284,0.999988,0.578064,0.739560,0.255025
285,0.999988,0.577569,0.739560,0.248851
286,0.999988,0.574976,0.739560,0.249938
287,0.999988,0.581233,0.739560,0.251367
288,0.999988,0.607955,0.739560,0.241227
289,0.999988,0.624215,0.739560,0.254218
290,0.999988,0.579703,0.739560,0.250218
291,0.999988,0.574162,0.739560,0.253929
292,0.999988,0.583410,0.739560,0.252082
293,0.999988,0.584582,0.739560,0.248092
294,0.999988,0.607830,0.739560,0.254142
295,0.999988,0.603407,0.739560,0.250421
296,0.999988,0.600997,0.739560,0.246135
297,0.999988,0.598432,0.739560,0.241235
298,0.999988,0.614224,0.739560,0.243414
299,0.999988,0.604276,0.739560,0.253222
300,0.999988,0.635534,0.739560,0.250750
301,0.999988,0.579019,0.739560,0.256014
302,0.999988,0.588029,0.739560,0.259529
303,0.999988,0.586366,0.739560,0.244790
304,0.999988,0.604489,0.739560,0.253061
305,0.999988,0.577000,0.739560,0.243465
306,0.999988,0.608170,0.739560,0.256827
307,0.999988,0.598059,0.739560,0.257422
308,0.999988,0.623656,0.739560,0.255603
309,0.999988,0.566310,0.739560,0.253289
310,0.999988,0.582401,0.739560,0.250158
311,0.999988,0.619938,0.739560,0.254985
312,0.999988,0.605435,0.739560,0.242664
313,0.999988,0.591077,0.739560,0.251537
314,0.999988,0.595561,0.739560,0.252771
315,0.999988,0.606620,0.739560,0.242708
316,0.999988,0.627723,0.739560,0.250311
317,0.999988,0.585310,0.739560,0.249720
318,0.999988,0.577075,0.739560,0.255872
319,0.999988,0.599341,0.739560,0.246365
320,0.999988,0.608774,0.739560,0.253955
321,0.999988,0.621027,0.739560,0.250381
322,0.999988,0.599526,0.739560,0.256085
323,0.999988,0.577519,0.739560,0.254946
324,0.999989,0.590089,0.739560,0.247172
325,0.999989,0.618039,0.739560,0.250931
326,0.999989,0.602589,0.739560,0.252029
327,0.999989,0.617274,0.739560,0.250303
328,0.999989,0.555542,0.739560,0.247470
329,0.999989,0.560368,0.739560,0.247965
330,0.999989,0.556585,0.739560,0.257037
331,0.999989,0.567041,0.739560,0.256054
332,0.999989,0.609324,0.739560,0.254770
333,0.999989,0.622731,0.739560,0.248527
334,0.999989,0.589634,0.739560,0.253871
335,0.999989,0.601547,0.739560,0.254830
336,0.999989,0.587198,0.739560,0.248466
337,0.999989,0.564383,0.739560,0.246213
338,0.999989,0.551691,0.739560,0.243144
339,0.999989,0.582574,0.739560,0.252085
340,0.999989,0.617110,0.739560,0.251116
341,0.999989,0.585058,0.739560,0.244912
342,0.999989,0.628038,0.739560,0.248692
343,0.999989,0.576411,0.739560,0.246660
344,0.999989,0.624046,0.739560,0.254426
345,0.999989,0.634486,0.739560,0.250030
346,0.999989,0.606139,0.739560,0.250849
347,0.999989,0.601633,0.739560,0.250236
348,0.999989,0.573348,0.739560,0.248325
349,0.999989,0.603483,0.739560,0.241017
350,0.999989,0.600095,0.739560,0.241263
351,0.999989,0.617238,0.739560,0.239888
352,0.999989,0.633787,0.739560,0.248823
353,0.999989,0.634423,0.739560,0.255113
354,0.999989,0.596934,0.739560,0.258003
355,0.999989,0.565844,0.739560,0.243723
356,0.999992,0.569985,0.739560,0.253699
357,0.999992,0.596284,0.739560,0.247998
358,0.999992,0.604995,0.739560,0.254792
359,0.999992,0.613733,0.739560,0.241752
360,0.999992,0.631139,0.739560,0.256751
361,0.999992,0.600270,0.739560,0.244967
362,0.999992,0.612365,0.739560,0.257866
363,0.999992,0.620768,0.739560,0.251223
364,0.999992,0.570738,0.739560,0.248836
365,0.999992,0.597748,0.739560,0.257077
366,0.999992,0.572439,0.790478,0.260983
367,0.999992,0.592642,0.790478,0.254059
368,0.999992,0.564717,0.790478,0.254037
369,0.999992,0.595218,0.790478,0.254634
370,0.999992,0.613034,0.790478,0.257655
371,0.999992,0.564704,0.790478,0.246944
372,0.999992,0.586896,0.790478,0.253121
373,0.999992,0.578621,0.790478,0.249174
374,0.999992,0.566583,0.790478,0.260624
375,0.999992,0.602409,0.790478,0.247334
376,0.999992,0.606376,0.790478,0.251444
377,0.999992,0.617659,0.790478,0.255031
378,0.999992,0.599046,0.790478,0.254609
379,0.999992,0.587754,0.790478,0.252253
380,0.999992,0.580937,0.790478,0.247177
381,0.999992,0.604586,0.790478,0.244358
382,0.999992,0.574049,0.790478,0.256712
383,0.999992,0.620598,0.790478,0.253088
384,0.999992,0.599894,0.790478,0.246836
385,0.999992,0.609197,0.790478,0.252586
386,0.999992,0.560329,0.790478,0.257752
387,0.999992,0.534580,0.790478,0.250984
388,0.999992,0.561264,0.790478,0.244157
389,0.999992,0.569831,0.790478,0.243956
390,0.999992,0.584400,0.790478,0.245454
391,0.999992,0.605061,0.790478,0.245761
392,0.999992,0.618718,0.790478,0.243616
393,0.999992,0.591418,0.790478,0.247745
394,0.999992,0.577070,0.790478,0.250841
395,0.999992,0.612735,0.790478,0.259415
396,0.999992,0.572322,0.790478,0.255103
397,0.999992,0.620821,0.790478,0.242791
398,0.999992,0.565684,0.790478,0.244579
399,0.999992,0.537538,0.790478,0.250753
400,0.999992,0.601376,0.790478,0.250678
401,0.999992,0.587678,0.790478,0.250646
402,0.999992,0.603006,0.790478,0.243754
403,0.999992,0.594198,0.790478,0.254183
404,0.999992,0.595622,0.790478,0.254212
405,0.999992,0.611382,0.790478,0.246295
406,0.999992,0.627085,0.790478,0.244846
407,0.999992,0.638783,0.790478,0.253542
408,0.999992,0.613892,0.790478,0.247263
409,0.999992,0.580466,0.790478,0.246506
410,0.999992,0.584545,0.790478,0.247664
411,0.999992,0.604925,0.790478,0.242644
412,0.999992,0.606792,0.790478,0.249702
413,0.999992,0.567604,0.790478,0.263565
414,0.999992,0.600984,0.790478,0.244897
415,0.999992,0.568343,0.790478,0.246110
416,0.999992,0.583222,0.790478,0.244557
417,0.999992,0.605885,0.790478,0.251631
418,0.999992,0.598983,0.790478,0.257350
419,0.999992,0.591214,0.790478,0.247031
420,0.999992,0.562348,0.790478,0.254023
421,0.999992,0.630333,0.790478,0.256688
422,0.999992,0.585445,0.790478,0.257959
423,0.999992,0.569896,0.790478,0.249870
424,0.999992,0.587581,0.790478,0.250791
425,0.999992,0.588952,0.790478,0.258122
426,0.999992,0.585482,0.790478,0.248369
427,0.999992,0.595257,0.790478,0.252883
428,0.999992,0.565021,0.790478,0.242421
429,0.999992,0.615675,0.790478,0.254299
430,0.999996,0.579441,0.790478,0.254916
431,0.999996,0.585240,0.790478,0.247118
432,0.999996,0.614800,0.790478,0.237303
433,0.999996,0.583201,0.790478,0.250444
434,0.999996,0.609328,0.790478,0.252751
435,0.999996,0.561408,0.790478,0.250927
436,0.999996,0.578730,0.790478,0.264211
437,0.999996,0.609693,0.790478,0.247091
438,0.999996,0.572782,0.790478,0.253937
439,0.999996,0.590185,0.790478,0.246322
440,0.999996,0.591139,0.790478,0.250856
441,0.999996,0.598472,0.790478,0.253520
442,0.999996,0.613141,0.790478,0.245140
443,0.999996,0.604427,0.790478,0.248987
444,0.999996,0.578087,0.790478,0.253548
