Rank,Fitness,Chromosome
0,1.000000,"[['-', 'w'], ['w', 'h'], ['t', 'tdg'], ['tdg', 'w'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'tdg'], ['-', 'cz(0)'], ['swap(1)', '-'], ['w', 'w']]"
1,1.000000,"[['-', 'w'], ['w', 'h'], ['tdg', 'tdg'], ['tdg', 'w'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'tdg'], ['-', 'cz(0)']]"
2,1.000000,"[['-', 'crz(0,1,0.21880296551264672)'], ['s', 'h'], ['t', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'w'], ['-', 'tdg'], ['-', 'cz(0)'], ['swap(1)', '-'], ['w', 'w']]"
3,1.000000,"[['-', 'w'], ['w', 'h'], ['w', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'w'], ['-', 'tdg'], ['-', 'cz(0)'], ['w', 'w']]"
4,1.000000,"[['-', 'w'], ['w', 'h'], ['s', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'w'], ['-', 'tdg'], ['-', 'cz(0)'], ['w', '-'], ['w', '-']]"
5,1.000000,"[['y', '-'], ['w', 'h'], ['y', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'tdg'], ['-', 'cz(0)']]"
6,1.000000,"[['-', 'crz(0,1,0.18822055433654944)'], ['w', 'h'], ['rz(0,0.4000215632928697)', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'tdg'], ['-', 'cz(0)']]"
7,1.000000,"[['-', 'w'], ['w', 'h'], ['tdg', 'tdg'], ['tdg', 'w'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'tdg'], ['w', '-'], ['cz(1)', '-']]"
8,1.000000,"[['-', 'w'], ['w', 'h'], ['s', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'w'], ['-', 'tdg'], ['-', 'cz(0)']]"
9,1.000000,"[['w', 'h'], ['rz(0,0.49501808854771207)', 'tdg'], ['cy(1)', '-'], ['swap(1)', '-'], ['h', 'w'], ['-', 'tdg'], ['-', 'cz(0)'], ['w', '-'], ['w', '-']]"
