Iteration,Random_Max,Random_Avg
0,0.197896,0.131390
1,0.225475,0.133322
2,0.234002,0.129086
3,0.237562,0.132002
4,0.246800,0.126437
5,0.246800,0.128012
6,0.247743,0.130842
7,0.247784,0.126961
8,0.250297,0.127065
9,0.250297,0.129980
10,0.252488,0.128450
11,0.252488,0.129256
12,0.256483,0.128620
13,0.256856,0.127968
14,0.262383,0.125558
15,0.265508,0.131147
16,0.267068,0.131107
17,0.267068,0.126027
18,0.267068,0.128568
19,0.267106,0.131752
20,0.268879,0.128641
21,0.268884,0.129409
22,0.268884,0.124960
23,0.268884,0.125105
24,0.268884,0.128219
25,0.268884,0.128220
26,0.268884,0.124906
27,0.268884,0.129295
28,0.268884,0.129321
29,0.268884,0.128945
30,0.268884,0.127430
31,0.269072,0.125648
32,0.269072,0.132031
33,0.269072,0.128340
34,0.272142,0.128722
35,0.272142,0.126252
36,0.272142,0.128068
37,0.272142,0.133520
38,0.275332,0.127911
39,0.275332,0.128203
40,0.275332,0.123885
41,0.276609,0.127913
42,0.280024,0.132109
43,0.281014,0.130203
44,0.281014,0.131673
45,0.285559,0.127961
46,0.285559,0.128197
47,0.285559,0.126553
48,0.294871,0.131126
49,0.297367,0.127563
50,0.297367,0.131151
51,0.297367,0.130984
52,0.297367,0.131649
53,0.299547,0.130940
54,0.302942,0.129151
55,0.302942,0.134072
56,0.302942,0.125496
57,0.302942,0.125863
58,0.302942,0.130674
59,0.308567,0.132513
60,0.308567,0.127112
61,0.308567,0.126300
62,0.308567,0.128718
63,0.308567,0.128496
64,0.308567,0.124333
65,0.308567,0.123522
66,0.308567,0.130359
67,0.309984,0.134976
68,0.309984,0.129858
69,0.309984,0.129402
70,0.309984,0.125350
71,0.309984,0.125989
72,0.310558,0.127400
73,0.310558,0.129354
74,0.313152,0.127868
75,0.313152,0.129151
76,0.313152,0.127960
77,0.313152,0.130840
78,0.313152,0.129831
79,0.313292,0.129601
80,0.315124,0.127864
81,0.315124,0.129494
82,0.315124,0.126489
83,0.315124,0.126453
84,0.315124,0.129668
85,0.315124,0.131561
86,0.319450,0.130705
87,0.319450,0.126980
88,0.319450,0.129061
89,0.319450,0.127864
90,0.319450,0.132105
91,0.319450,0.128985
92,0.319450,0.128332
93,0.319450,0.128840
94,0.319450,0.128277
95,0.319450,0.129007
96,0.319450,0.129919
97,0.319450,0.125887
98,0.319450,0.128956
99,0.319450,0.124434
100,0.319450,0.128811
101,0.319450,0.127170
102,0.319807,0.127180
103,0.329592,0.131557
104,0.329592,0.127816
105,0.329592,0.127411
106,0.329592,0.130682
107,0.329592,0.131854
108,0.330135,0.128144
109,0.330135,0.127787
110,0.330135,0.126402
111,0.330135,0.129545
112,0.330135,0.129321
113,0.330135,0.131792
114,0.330135,0.129817
115,0.330135,0.131820
116,0.330135,0.131172
117,0.330135,0.122564
118,0.330135,0.128456
119,0.330135,0.128725
120,0.330135,0.129196
121,0.330135,0.128946
122,0.330135,0.129788
123,0.330135,0.126343
124,0.330135,0.125787
125,0.330135,0.129398
126,0.330135,0.130014
127,0.330135,0.123383
128,0.330135,0.128606
129,0.330135,0.127635
130,0.330135,0.132552
131,0.330135,0.128438
132,0.330135,0.126643
133,0.330221,0.132874
134,0.330221,0.127554
135,0.330221,0.132580
136,0.330221,0.130438
137,0.330221,0.126851
138,0.330221,0.129310
139,0.330221,0.127436
140,0.330221,0.128663
141,0.330221,0.126085
142,0.330221,0.127591
143,0.332463,0.131057
144,0.332463,0.130662
145,0.339872,0.128558
146,0.339872,0.130985
147,0.339872,0.130737
148,0.339872,0.131284
149,0.339872,0.128027
150,0.339872,0.133572
151,0.339872,0.129901
152,0.344527,0.128053
153,0.344527,0.129794
154,0.344527,0.125699
155,0.344527,0.126824
156,0.344527,0.130223
157,0.344719,0.132874
158,0.344719,0.126755
159,0.344719,0.129701
160,0.344719,0.125948
161,0.344719,0.129815
162,0.344719,0.127532
