Iteration,Random_Max,Random_Avg
0,0.443914,0.248042
1,0.48453,0.253357
2,0.497146,0.254549
3,0.497146,0.240822
4,0.540866,0.248126
5,0.569856,0.247132
6,0.569856,0.24842
7,0.60201,0.250018
8,0.60201,0.247356
9,0.60201,0.253361
10,0.646383,0.24966
11,0.657225,0.254845
12,0.657225,0.247316
13,0.657225,0.254329
14,0.657225,0.24599
15,0.657225,0.249789
16,0.657225,0.246392
17,0.657225,0.248563
18,0.657225,0.250876
19,0.657225,0.253224
20,0.657225,0.249459
21,0.657225,0.24835
22,0.657225,0.255218
23,0.657225,0.250796
24,0.657225,0.251645
25,0.657225,0.250231
26,0.657225,0.247128
27,0.657225,0.24669
28,0.657225,0.243651
29,0.657225,0.249209
30,0.657225,0.244327
31,0.657225,0.242734
32,0.66233,0.248167
33,0.66233,0.248867
34,0.66233,0.256926
35,0.66233,0.250529
36,0.66233,0.247554
37,0.66233,0.251013
38,0.677874,0.259375
39,0.677874,0.25014
40,0.677874,0.246357
41,0.687705,0.259979
42,0.687705,0.240569
43,0.687705,0.254796
44,0.687705,0.254745
45,0.687705,0.251558
46,0.687705,0.260429
47,0.689032,0.254419
48,0.689032,0.249058
49,0.689032,0.254007
50,0.689032,0.256666
51,0.689032,0.244804
52,0.689032,0.258044
53,0.689032,0.245231
54,0.689032,0.253926
55,0.689032,0.257938
56,0.689032,0.246156
57,0.689032,0.244849
58,0.689032,0.254426
59,0.689032,0.25388
60,0.689032,0.238536
61,0.713223,0.243343
62,0.713223,0.248251
63,0.713223,0.249625
64,0.713223,0.251775
65,0.713223,0.258449
66,0.713223,0.256268
67,0.713223,0.245271
68,0.716569,0.24623
69,0.716569,0.24417
70,0.716569,0.253205
71,0.716569,0.251066
72,0.716569,0.251071
73,0.716569,0.246327
74,0.716569,0.244114
75,0.716569,0.254643
76,0.72347,0.252369
77,0.72347,0.251462
78,0.72347,0.25462
79,0.72347,0.255528
80,0.72347,0.244077
81,0.72347,0.244674
82,0.72347,0.243917
83,0.72347,0.247799
84,0.72347,0.253434
85,0.72347,0.248471
86,0.72347,0.256477
87,0.72347,0.25758
88,0.72347,0.244447
89,0.72347,0.257934
90,0.72347,0.245611
91,0.72347,0.244239
92,0.72347,0.247411
93,0.72347,0.253182
94,0.72347,0.253072
95,0.72347,0.24963
96,0.72347,0.25192
97,0.72347,0.253458
98,0.72347,0.252467
99,0.72347,0.253849
100,0.72347,0.248024
101,0.72347,0.243384
102,0.72347,0.24987
103,0.72347,0.25308
104,0.72347,0.252065
105,0.72347,0.248274
106,0.72347,0.251777
107,0.72347,0.251671
108,0.72347,0.254879
109,0.72347,0.246626
110,0.72347,0.248007
111,0.72347,0.250683
112,0.72347,0.250822
113,0.72347,0.242958
114,0.72347,0.244573
115,0.72347,0.247204
116,0.72347,0.243171
117,0.72347,0.24942
118,0.72347,0.255642
119,0.72347,0.254909
120,0.72347,0.253073
121,0.72347,0.251673
122,0.72347,0.253126
123,0.72347,0.249031
124,0.72347,0.249521
125,0.72347,0.25178
126,0.72347,0.252948
127,0.72347,0.243182
128,0.72347,0.245574
129,0.72347,0.252395
130,0.72347,0.252472
131,0.72347,0.247745
132,0.72347,0.250483
133,0.72347,0.244361
134,0.72347,0.255823
135,0.72347,0.249148
136,0.72347,0.252285
137,0.72347,0.25115
138,0.72347,0.249099
139,0.72347,0.248333
140,0.72347,0.253862
141,0.72347,0.249644
142,0.72347,0.251382
143,0.72347,0.248563
144,0.72347,0.253957
145,0.72347,0.239228
146,0.72347,0.256982
147,0.72347,0.254121
148,0.72347,0.248304
149,0.72347,0.255456
150,0.72347,0.247469
151,0.72347,0.252382
152,0.72347,0.254999
153,0.72347,0.247644
154,0.72347,0.247501
155,0.72347,0.246615
156,0.72347,0.252259
157,0.72347,0.24784
158,0.72347,0.253188
159,0.72347,0.252968
160,0.72347,0.246318
161,0.72347,0.242638
162,0.72347,0.244693
163,0.72347,0.251624
164,0.72347,0.252858
165,0.72347,0.25589
166,0.72347,0.254876
167,0.72347,0.24653
168,0.72347,0.242486
169,0.72347,0.248868
170,0.72347,0.258187
171,0.72347,0.244893
172,0.72347,0.245881
173,0.72347,0.243792
174,0.72347,0.254151
175,0.72347,0.252346
176,0.72347,0.250677
177,0.72347,0.253294
178,0.72347,0.249372
179,0.72347,0.246225
180,0.72347,0.251573
181,0.72347,0.242253
182,0.72347,0.2431
183,0.72347,0.245516
184,0.72347,0.247288
185,0.72347,0.253225
186,0.72347,0.247703
187,0.72347,0.254815
188,0.72347,0.257301
189,0.72347,0.25325
190,0.72347,0.257282
191,0.72347,0.254316
192,0.72347,0.253775
193,0.72347,0.254943
194,0.72347,0.247142
195,0.72347,0.245165
196,0.72347,0.249198
197,0.72347,0.250344
198,0.72347,0.248504
199,0.72347,0.261294
200,0.72347,0.248397
201,0.72347,0.251681
202,0.72347,0.248983
203,0.72347,0.25577
204,0.72347,0.24887
205,0.72347,0.255384
206,0.72347,0.25598
207,0.72347,0.250557
208,0.72347,0.251232
209,0.72347,0.25138
210,0.72347,0.256221
211,0.72347,0.245622
212,0.72347,0.249366
213,0.72347,0.24777
214,0.72347,0.247489
215,0.72347,0.241986
216,0.72347,0.25742
217,0.72347,0.260952
218,0.72347,0.247878
219,0.72347,0.245211
220,0.72347,0.246319
221,0.72347,0.243414
222,0.72347,0.252726
223,0.72347,0.246727
224,0.72347,0.244398
225,0.72347,0.254108
226,0.72347,0.25483
227,0.72347,0.253717
228,0.72347,0.255871
229,0.72347,0.250141
230,0.72347,0.250996
231,0.72347,0.25586
232,0.72347,0.251553
233,0.72347,0.255739
234,0.72347,0.251338
235,0.72347,0.253547
236,0.72347,0.247249
237,0.72347,0.250821
238,0.72347,0.250854
239,0.72347,0.251684
240,0.72347,0.251208
241,0.72347,0.243918
242,0.72347,0.258463
243,0.72347,0.249449
244,0.72347,0.251112
245,0.72347,0.253982
246,0.72347,0.251744
247,0.72347,0.246728
248,0.72347,0.251719
249,0.72347,0.25313
250,0.72347,0.253923
251,0.72347,0.246585
252,0.72347,0.245035
253,0.732785,0.255741
254,0.732785,0.245947
255,0.732785,0.250916
256,0.732785,0.244826
257,0.732785,0.250048
258,0.732785,0.252516
259,0.732785,0.250657
260,0.73956,0.249853
261,0.73956,0.249776
262,0.73956,0.250725
263,0.73956,0.25387
264,0.73956,0.259927
265,0.73956,0.260646
266,0.73956,0.248769
267,0.73956,0.245292
268,0.73956,0.253554
269,0.73956,0.252221
270,0.73956,0.250772
271,0.73956,0.254558
272,0.73956,0.255762
273,0.73956,0.251526
274,0.73956,0.253647
275,0.73956,0.240147
276,0.73956,0.246219
277,0.73956,0.251262
278,0.73956,0.258151
279,0.73956,0.245431
280,0.73956,0.253026
281,0.73956,0.251218
282,0.73956,0.25906
283,0.73956,0.255225
284,0.73956,0.255025
285,0.73956,0.248851
286,0.73956,0.249938
287,0.73956,0.251367
288,0.73956,0.241227
289,0.73956,0.254218
290,0.73956,0.250218
291,0.73956,0.253929
292,0.73956,0.252082
293,0.73956,0.248092
294,0.73956,0.254142
295,0.73956,0.250421
296,0.73956,0.246135
297,0.73956,0.241235
298,0.73956,0.243414
299,0.73956,0.253222
300,0.73956,0.25075
301,0.73956,0.256014
302,0.73956,0.259529
303,0.73956,0.24479
304,0.73956,0.253061
305,0.73956,0.243465
306,0.73956,0.256827
307,0.73956,0.257422
308,0.73956,0.255603
309,0.73956,0.253289
310,0.73956,0.250158
311,0.73956,0.254985
312,0.73956,0.242664
313,0.73956,0.251537
314,0.73956,0.252771
315,0.73956,0.242708
316,0.73956,0.250311
317,0.73956,0.24972
318,0.73956,0.255872
319,0.73956,0.246365
320,0.73956,0.253955
321,0.73956,0.250381
322,0.73956,0.256085
323,0.73956,0.254946
324,0.73956,0.247172
325,0.73956,0.250931
326,0.73956,0.252029
327,0.73956,0.250303
328,0.73956,0.24747
329,0.73956,0.247965
330,0.73956,0.257037
331,0.73956,0.256054
332,0.73956,0.25477
333,0.73956,0.248527
334,0.73956,0.253871
335,0.73956,0.25483
336,0.73956,0.248466
337,0.73956,0.246213
338,0.73956,0.243144
339,0.73956,0.252085
340,0.73956,0.251116
341,0.73956,0.244912
342,0.73956,0.248692
343,0.73956,0.24666
344,0.73956,0.254426
345,0.73956,0.25003
346,0.73956,0.250849
347,0.73956,0.250236
348,0.73956,0.248325
349,0.73956,0.241017
350,0.73956,0.241263
351,0.73956,0.239888
352,0.73956,0.248823
353,0.73956,0.255113
354,0.73956,0.258003
355,0.73956,0.243723
356,0.73956,0.253699
357,0.73956,0.247998
358,0.73956,0.254792
359,0.73956,0.241752
360,0.73956,0.256751
361,0.73956,0.244967
362,0.73956,0.257866
363,0.73956,0.251223
364,0.73956,0.248836
365,0.73956,0.257077
366,0.790478,0.260983
367,0.790478,0.254059
368,0.790478,0.254037
369,0.790478,0.254634
370,0.790478,0.257655
371,0.790478,0.246944
372,0.790478,0.253121
373,0.790478,0.249174
374,0.790478,0.260624
375,0.790478,0.247334
376,0.790478,0.251444
377,0.790478,0.255031
378,0.790478,0.254609
379,0.790478,0.252253
380,0.790478,0.247177
381,0.790478,0.244358
382,0.790478,0.256712
383,0.790478,0.253088
384,0.790478,0.246836
385,0.790478,0.252586
386,0.790478,0.257752
387,0.790478,0.250984
388,0.790478,0.244157
389,0.790478,0.243956
390,0.790478,0.245454
391,0.790478,0.245761
392,0.790478,0.243616
393,0.790478,0.247745
394,0.790478,0.250841
395,0.790478,0.259415
396,0.790478,0.255103
397,0.790478,0.242791
398,0.790478,0.244579
399,0.790478,0.250753
400,0.790478,0.250678
401,0.790478,0.250646
402,0.790478,0.243754
403,0.790478,0.254183
404,0.790478,0.254212
405,0.790478,0.246295
406,0.790478,0.244846
407,0.790478,0.253542
408,0.790478,0.247263
409,0.790478,0.246506
410,0.790478,0.247664
411,0.790478,0.242644
412,0.790478,0.249702
413,0.790478,0.263565
414,0.790478,0.244897
415,0.790478,0.24611
416,0.790478,0.244557
417,0.790478,0.251631
418,0.790478,0.25735
419,0.790478,0.247031
420,0.790478,0.254023
421,0.790478,0.256688
422,0.790478,0.257959
423,0.790478,0.24987
424,0.790478,0.250791
425,0.790478,0.258122
426,0.790478,0.248369
427,0.790478,0.252883
428,0.790478,0.242421
429,0.790478,0.254299
430,0.790478,0.254916
431,0.790478,0.247118
432,0.790478,0.237303
433,0.790478,0.250444
434,0.790478,0.252751
435,0.790478,0.250927
436,0.790478,0.264211
437,0.790478,0.247091
438,0.790478,0.253937
439,0.790478,0.246322
440,0.790478,0.250856
441,0.790478,0.25352
442,0.790478,0.24514
443,0.790478,0.248987
444,0.790478,0.253548
445,0.790478,0.24413
446,0.790478,0.245026
447,0.790478,0.259491
448,0.790478,0.250673
449,0.790478,0.240607
450,0.790478,0.251412
451,0.790478,0.254397
452,0.790478,0.257883
453,0.790478,0.24719
454,0.790478,0.245359
455,0.790478,0.246562
456,0.790478,0.247122
457,0.790478,0.24258
458,0.790478,0.253363
459,0.790478,0.245323
460,0.790478,0.251584
461,0.790478,0.251454
462,0.790478,0.257193
463,0.790478,0.245551
464,0.790478,0.254052
465,0.790478,0.255681
466,0.790478,0.246258
467,0.790478,0.242704
468,0.790478,0.259775
469,0.790478,0.247599
470,0.790478,0.247382
471,0.790478,0.25284
472,0.790478,0.248405
473,0.790478,0.256163
474,0.790478,0.25412
475,0.790478,0.251591
476,0.790478,0.248886
477,0.790478,0.24925
478,0.790478,0.25304
479,0.790478,0.24992
480,0.790478,0.250755
481,0.790478,0.251367
482,0.790478,0.255013
483,0.790478,0.244278
484,0.790478,0.253461
485,0.794229,0.25178
486,0.794229,0.252883
487,0.794229,0.253326
488,0.794229,0.256076
489,0.794229,0.233985
490,0.794229,0.250089
491,0.794229,0.254032
492,0.794229,0.257977
493,0.794229,0.246577
494,0.794229,0.246789
495,0.794229,0.259959
496,0.794229,0.257174
497,0.794229,0.254958
498,0.794229,0.248522
499,0.794229,0.251384
500,0.794229,0.253072
501,0.794229,0.245352
502,0.794229,0.244841
503,0.794229,0.249118
504,0.794229,0.255362
505,0.794229,0.254715
506,0.794229,0.244464
507,0.794229,0.252713
508,0.794229,0.258342
509,0.794229,0.254661
510,0.794229,0.258367
511,0.794229,0.251155
512,0.794229,0.250699
513,0.794229,0.259393
514,0.794229,0.24131
515,0.794229,0.254937
516,0.794229,0.25309
517,0.794229,0.254575
518,0.794229,0.248599
519,0.794229,0.25822
520,0.794229,0.243099
521,0.794229,0.249618
522,0.794229,0.247888
523,0.794229,0.244614
524,0.794229,0.250237
525,0.794229,0.252358
526,0.794229,0.248487
527,0.794229,0.241848
528,0.794229,0.255582
529,0.794229,0.254765
530,0.794229,0.253493
531,0.794229,0.254497
532,0.794229,0.247058
533,0.794229,0.248772
534,0.794229,0.245263
535,0.794229,0.243961
536,0.794229,0.253862
537,0.794229,0.247361
538,0.794229,0.248032
539,0.794229,0.253267
540,0.794229,0.252066
541,0.794229,0.243868
542,0.794229,0.249489
543,0.794229,0.257951
544,0.794229,0.252899
545,0.794229,0.247529
546,0.794229,0.24976
547,0.794229,0.2447
548,0.794229,0.257706
549,0.794229,0.257287
550,0.794229,0.247737
551,0.794229,0.245861
552,0.794229,0.25724
553,0.794229,0.251211
554,0.794229,0.255039
555,0.794229,0.247337
556,0.794229,0.249474
557,0.794229,0.246808
558,0.794229,0.254087
559,0.794229,0.247183
560,0.794229,0.261672
561,0.794229,0.25473
562,0.794229,0.248739
563,0.794229,0.247719
564,0.794229,0.244573
565,0.794229,0.252272
566,0.794229,0.242314
567,0.794229,0.245013
568,0.794229,0.255945
569,0.794229,0.248124
570,0.794229,0.252658
571,0.794229,0.252003
572,0.794229,0.246296
573,0.794229,0.243993
574,0.794229,0.250043
575,0.794229,0.248914
576,0.794229,0.247093
577,0.794229,0.242693
578,0.794229,0.249794
579,0.794229,0.248593
580,0.794229,0.255379
581,0.794229,0.257458
582,0.794229,0.257612
583,0.794229,0.254576
584,0.794229,0.2514
585,0.794229,0.255895
586,0.794229,0.249377
587,0.794229,0.243276
588,0.794229,0.24207
589,0.794229,0.25248
590,0.794229,0.249738
591,0.794229,0.258144
592,0.794229,0.252377
593,0.794229,0.247136
594,0.794229,0.245538
595,0.794229,0.253003
596,0.794229,0.257318
597,0.794229,0.253689
598,0.794229,0.251533
599,0.794229,0.257522
600,0.794229,0.251918
601,0.794229,0.24982
602,0.794229,0.242734
603,0.794229,0.236892
604,0.794229,0.252336
605,0.794229,0.248441
606,0.794229,0.246553
607,0.794229,0.246038
608,0.794229,0.239965
609,0.794229,0.242503
610,0.794229,0.247078
611,0.794229,0.251147
612,0.794229,0.242711
613,0.794229,0.249027
614,0.794229,0.246822
615,0.794229,0.247246
616,0.794229,0.238216
617,0.794229,0.259126
618,0.794229,0.242774
619,0.794229,0.253383
620,0.794229,0.255435
621,0.794229,0.250401
622,0.794229,0.250542
623,0.794229,0.246833
624,0.794229,0.249634
625,0.794229,0.249922
626,0.794229,0.253641
627,0.794229,0.249994
628,0.794229,0.24451
629,0.794229,0.258329
630,0.794229,0.255746
631,0.794229,0.254153
632,0.794229,0.25079
633,0.794229,0.246261
