Parameter Set,Final EA Max Fitness
pmr0.1_gmr0.3_lmr0.2_mpm0.2_ldr0.03,0.322232
pmr0.1_gmr0.3_lmr0.2_mpm0.2_ldr0.05,0.340807
pmr0.1_gmr0.3_lmr0.2_mpm0.3_ldr0.03,0.342153
pmr0.1_gmr0.3_lmr0.2_mpm0.3_ldr0.05,0.332495
pmr0.1_gmr0.3_lmr0.3_mpm0.2_ldr0.03,0.349755
pmr0.1_gmr0.3_lmr0.3_mpm0.2_ldr0.05,0.326194
pmr0.1_gmr0.3_lmr0.3_mpm0.3_ldr0.03,0.339246
pmr0.1_gmr0.3_lmr0.3_mpm0.3_ldr0.05,0.325638
pmr0.1_gmr0.4_lmr0.2_mpm0.2_ldr0.03,0.292836
pmr0.1_gmr0.4_lmr0.2_mpm0.2_ldr0.05,0.300876
pmr0.1_gmr0.4_lmr0.2_mpm0.3_ldr0.03,0.324827
pmr0.1_gmr0.4_lmr0.2_mpm0.3_ldr0.05,0.297485
pmr0.1_gmr0.4_lmr0.3_mpm0.2_ldr0.03,0.320062
pmr0.1_gmr0.4_lmr0.3_mpm0.2_ldr0.05,0.283903
pmr0.1_gmr0.4_lmr0.3_mpm0.3_ldr0.03,0.300352
pmr0.1_gmr0.4_lmr0.3_mpm0.3_ldr0.05,0.299655
pmr0.2_gmr0.3_lmr0.2_mpm0.2_ldr0.03,0.313198
pmr0.2_gmr0.3_lmr0.2_mpm0.2_ldr0.05,0.310171
pmr0.2_gmr0.3_lmr0.2_mpm0.3_ldr0.03,0.313391
pmr0.2_gmr0.3_lmr0.2_mpm0.3_ldr0.05,0.283223
pmr0.2_gmr0.3_lmr0.3_mpm0.2_ldr0.03,0.309774
pmr0.2_gmr0.3_lmr0.3_mpm0.2_ldr0.05,0.336486
pmr0.2_gmr0.3_lmr0.3_mpm0.3_ldr0.03,0.324707
pmr0.2_gmr0.3_lmr0.3_mpm0.3_ldr0.05,0.283246
pmr0.2_gmr0.4_lmr0.2_mpm0.2_ldr0.03,0.301115
pmr0.2_gmr0.4_lmr0.2_mpm0.2_ldr0.05,0.291359
pmr0.2_gmr0.4_lmr0.2_mpm0.3_ldr0.03,0.31526
pmr0.2_gmr0.4_lmr0.2_mpm0.3_ldr0.05,0.28004
pmr0.2_gmr0.4_lmr0.3_mpm0.2_ldr0.03,0.322315
pmr0.2_gmr0.4_lmr0.3_mpm0.2_ldr0.05,0.286573
pmr0.2_gmr0.4_lmr0.3_mpm0.3_ldr0.03,0.281675
pmr0.2_gmr0.4_lmr0.3_mpm0.3_ldr0.05,0.295173
